Matricula,Idade,Gênero,Departamento,Cargo,Banda Salarial,Status,Motivo do Desligamento,Escolaridade,Estado Civil,Última Promoção (anos),Horas-extras (média),Tempo de Empresa,Engajamento,Satisfação,Desempenho,Apoio da Liderança,Percepção de Desenvolvimento,Probabilidade de Saída
428,53,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,3,5,3,3,2,3,3,1.0
1629,35,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,0,8,3,3,2,3,2,1.0
1614,47,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,1,1,9,2,2,2,3,2,0.84
1445,48,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,5,3,3,2,3,3,1.0
953,46,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Pós-Graduação,Casado,0,0,9,3,1,3,3,1,0.03
1853,39,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Inativo,Involuntário,Ensino Superior,Solteiro,0,0,9,2,1,1,3,1,0.28
1132,24,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Pós-Graduação,Casado,0,1,6,2,1,2,3,1,0.28
1451,56,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,6,2,1,2,3,1,0.28
1816,58,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Médio,Casado,0,1,9,3,3,2,3,3,1.0
842,37,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,2,3,3,3,3,3,1.0
1737,55,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,9,1,1,3,3,2,0.0
1879,35,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,0,0,7,3,3,2,3,3,1.0
718,41,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,0,8,2,2,3,3,2,0.84
1193,53,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,1,6,2,1,2,3,1,0.28
646,47,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,1,1,5,3,3,2,3,3,1.0
1024,40,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,0,1,2,2,3,2,0.0
1466,35,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,10,2,2,2,3,2,0.84
1911,27,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Pós-Graduação,Solteiro,0,0,8,2,2,2,3,2,0.84
368,44,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,6,3,3,2,3,3,1.0
1228,25,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Casado,0,1,1,1,3,2,3,2,0.0
1510,25,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,2,0,4,3,3,2,3,3,1.0
250,18,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,1,3,3,3,3,3,1.0
1944,38,Feminino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,0,0,5,2,2,2,3,2,0.84
1580,58,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Pós-Graduação,Solteiro,0,0,9,3,3,3,3,3,1.0
1212,59,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,1,0,2,2,3,3,2,0.84
1684,28,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,1,8,3,3,2,3,3,1.0
1389,39,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,2,0,10,2,1,2,3,1,0.28
290,35,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,1,5,2,2,3,3,2,0.84
870,49,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,7,3,3,2,3,3,1.0
1583,19,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,3,3,3,3,3,3,1.0
1749,49,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,3,2,2,2,3,2,0.84
235,29,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,2,1,0,3,3,2,3,2,1.0
1082,48,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,5,1,2,3,3,2,0.0
1405,51,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,1,5,3,3,3,3,3,1.0
73,60,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Aposentadoria,Ensino Médio,Solteiro,,0,10,,,2,3,,0.84
717,22,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,1,5,2,1,2,3,1,0.28
811,20,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,1,1,5,3,3,3,3,3,1.0
1824,55,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Médio,Solteiro,0,0,4,3,3,2,3,3,1.0
397,54,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,1,3,3,3,3,2,3,3,1.0
1408,38,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Médio,Solteiro,1,1,6,1,1,2,3,2,0.0
298,20,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,4,3,2,3,3,2,0.92
1272,56,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Involuntário,Ensino Médio,Solteiro,0,0,4,2,1,1,3,1,0.28
93,48,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,8,3,3,2,3,3,1.0
16,56,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,1,9,2,2,2,3,2,0.84
1153,31,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,8,3,3,2,3,3,1.0
1656,51,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Pós-Graduação,Solteiro,0,3,6,3,2,3,3,2,0.92
996,58,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,1,0,3,3,2,3,3,1.0
806,38,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,2,1,8,3,3,2,3,3,1.0
1567,36,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,0,9,3,3,3,3,3,1.0
1540,49,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,0,4,3,3,3,3,3,1.0
588,37,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Médio,Solteiro,0,1,1,1,1,2,3,2,0.0
875,24,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,1,7,3,3,2,3,3,1.0
138,48,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,4,2,2,3,3,2,0.84
992,37,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,1,1,2,2,3,3,2,0.84
1589,60,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Aposentadoria,Ensino Superior,Solteiro,,0,9,,,2,3,,0.84
1129,29,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Pós-Graduação,Solteiro,1,1,8,3,3,3,3,3,1.0
940,34,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,2,0,2,3,2,2,3,2,0.92
1619,41,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Casado,0,0,0,2,1,3,3,1,0.28
1068,46,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,3,6,2,2,2,3,2,0.84
1557,31,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Casado,0,0,2,3,3,2,3,3,1.0
1655,58,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,0,3,3,3,2,3,2,1.0
1951,47,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Solteiro,1,0,7,3,3,3,3,3,1.0
1377,49,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,0,10,2,2,2,3,2,0.84
1856,60,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Inativo,Aposentadoria,Ensino Superior,Casado,,1,4,,,3,3,,0.84
689,41,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,0,0,1,3,3,3,3,3,1.0
1266,60,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Aposentadoria,Pós-Graduação,Solteiro,,0,7,,,2,3,,0.84
611,24,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,5,1,2,2,3,2,0.0
270,21,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Involuntário,Ensino Superior,Solteiro,0,1,3,1,1,1,3,2,0.0
1273,42,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,0,7,3,3,2,3,3,1.0
1402,50,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,4,1,2,2,3,2,0.0
1443,31,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,3,3,3,3,3,3,1.0
729,42,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Pós-Graduação,Solteiro,0,0,6,2,1,2,3,1,0.28
1345,53,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Casado,0,0,9,1,2,3,3,2,0.0
1304,20,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,1,10,3,3,3,3,3,1.0
136,30,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,0,1,3,3,3,3,3,1.0
1398,33,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,1,3,3,3,3,3,1.0
323,19,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Médio,Casado,0,1,6,2,1,3,3,1,0.28
177,59,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,1,2,1,3,3,1,0.28
489,44,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,1,7,1,2,3,3,2,0.0
647,58,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,1,1,8,3,3,3,3,3,1.0
69,27,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,3,9,3,3,2,3,3,1.0
1115,58,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,0,1,10,2,2,2,3,2,0.84
1873,26,Feminino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Médio,Casado,0,1,2,3,3,2,3,3,1.0
291,36,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,0,9,3,3,3,3,3,1.0
933,40,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,0,1,6,3,3,2,3,2,1.0
887,56,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,5,3,3,2,3,3,1.0
1518,24,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,3,8,3,3,3,3,3,1.0
536,32,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,0,6,2,1,3,3,1,0.28
1584,41,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Casado,0,3,1,3,3,2,3,2,1.0
1386,60,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Aposentadoria,Ensino Superior,Solteiro,,0,2,,,2,3,,0.84
894,32,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,0,3,3,2,3,3,1.0
1335,52,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,1,2,1,2,3,1,0.28
1181,44,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,1,1,1,2,3,3,2,0.0
931,38,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,1,5,3,3,2,3,2,1.0
1514,55,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Solteiro,0,1,1,3,3,2,3,3,1.0
1768,42,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Pós-Graduação,Solteiro,0,0,4,2,2,3,3,2,0.84
554,34,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,0,4,2,2,3,3,2,0.84
1112,59,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,4,3,3,2,3,3,1.0
1646,26,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,2,1,1,3,3,3,3,3,1.0
352,49,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,10,1,1,2,3,2,0.0
903,23,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,3,5,2,2,3,3,2,0.84
80,38,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,1,1,3,3,3,2,3,3,1.0
635,58,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Médio,Solteiro,0,1,10,2,1,3,3,1,0.28
1123,45,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Solteiro,2,0,10,3,3,2,3,3,1.0
1634,18,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,1,3,3,3,3,3,1.0
1109,30,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,6,2,2,3,3,2,0.84
1249,35,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,0,3,1,2,3,2,0.55
714,29,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,2,1,5,3,3,2,3,2,1.0
265,25,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,8,3,3,3,3,3,1.0
34,57,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,1,1,3,3,3,3,3,1.0
1136,42,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Pós-Graduação,Solteiro,0,1,1,2,1,2,3,1,0.28
309,29,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Casado,0,3,5,2,1,2,3,1,0.28
1232,40,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,1,3,2,2,2,3,2,0.84
302,31,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,0,1,8,3,3,3,3,3,1.0
1933,44,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Ativo,,Ensino Superior,Casado,0,0,10,2,2,3,3,2,0.84
1925,41,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,9,2,2,3,3,2,0.84
1131,47,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,1,2,2,2,3,2,0.84
1720,47,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,3,10,2,2,2,3,2,0.84
721,44,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Pós-Graduação,Casado,0,0,1,3,3,3,3,3,1.0
120,21,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,0,2,1,3,3,1,0.28
1242,45,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,1,7,3,3,3,3,3,1.0
852,42,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,1,6,2,2,2,3,2,0.84
1353,25,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,1,0,3,3,2,3,3,1.0
1356,43,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,0,3,3,3,3,3,1.0
1066,43,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,5,3,3,2,3,3,1.0
1307,24,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Médio,Casado,0,0,8,1,2,3,3,2,0.0
850,43,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,9,3,3,3,3,3,1.0
1292,55,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,1,0,5,2,1,3,3,1,0.28
673,32,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,0,0,7,3,3,2,3,2,1.0
553,25,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Solteiro,0,0,7,2,1,3,3,1,0.28
482,24,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,1,3,3,3,3,3,3,1.0
365,31,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Involuntário,Ensino Superior,Casado,0,1,9,2,1,1,3,1,0.28
164,18,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,6,1,1,3,3,2,0.0
1496,58,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,3,8,3,3,2,3,3,1.0
54,59,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Médio,Solteiro,1,0,10,3,3,2,3,3,1.0
1954,30,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Inativo,Voluntário,Ensino Superior,Solteiro,0,3,1,2,1,3,3,1,0.28
436,22,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Ativo,,Ensino Superior,Casado,0,0,1,3,3,2,3,3,1.0
683,56,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Voluntário,Ensino Superior,Solteiro,0,3,8,2,1,3,3,1,0.28
1523,22,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,0,7,2,2,2,3,2,0.84
896,56,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,2,1,7,2,2,3,3,2,0.84
512,53,Feminino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Voluntário,Ensino Médio,Solteiro,0,0,1,2,1,3,3,1,0.28
1463,18,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,1,1,2,2,2,3,2,0.84
1360,43,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,0,7,3,3,2,3,3,1.0
1642,57,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Casado,0,0,7,3,3,2,3,3,1.0
1058,18,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Casado,0,0,0,3,3,2,3,3,1.0
1888,24,Masculino,Desenvolvimento de Software,Analista de Qualidade de Software (QA),7,Inativo,Voluntário,Ensino Superior,Solteiro,0,0,6,1,2,3,3,2,0.0
1501,31,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Casado,0,3,1,2,1,3,3,1,0.28
822,28,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Médio,Casado,0,3,4,2,2,3,3,2,0.84
926,31,Masculino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Inativo,Involuntário,Ensino Superior,Casado,0,1,2,2,1,1,3,1,0.28
1767,19,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,1,0,3,3,3,2,3,3,1.0
679,57,Feminino,Desenvolvimento de Software,Desenvolvedor Back-end,8,Ativo,,Ensino Superior,Solteiro,0,0,6,3,3,3,3,3,1.0
1631,44,Masculino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Inativo,Voluntário,Ensino Superior,Solteiro,0,1,2,1,1,3,3,2,0.0
567,60,Masculino,Desenvolvimento de Software,Desenvolvedor Front-end,8,Inativo,Aposentadoria,Ensino Superior,Casado,,0,4,,,3,3,,0.84
1599,19,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Médio,Casado,0,1,2,3,3,3,3,3,1.0
1288,36,Feminino,Desenvolvimento de Software,Desenvolvedor Full-stack,9,Ativo,,Ensino Superior,Solteiro,0,0,4,3,3,3,3,3,1.0
